Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Middle income,MIC,3.32,3.44,3.57,3.70,3.82,3.95,4.11,4.28,4.44,4.60,4.76,4.77,4.85,5.02,5.20,5.38,5.41,5.50,5.60,5.70,4.57,5.21,4.62,4.50,4.38,4.27,4.15,4.03
North Macedonia,MKD,23.60,24.50,26.30,27.70,30.00,35.60,38.80,38.44,36.46,34.48,32.50,30.52,31.94,36.69,37.16,37.25,36.03,34.93,33.76,32.18,32.02,31.38,30.53,29.00,27.75,26.07,23.72,22.38
Malta,MLT,3.90,3.60,4.00,4.50,4.10,3.70,4.40,5.00,5.10,5.30,5.37,5.44,5.51,5.58,5.65,5.72,5.79,5.86,5.98,6.89,6.85,6.38,6.31,6.39,5.80,5.39,4.98,4.57
Middle East & North Africa (excluding high income),MNA,12.49,12.45,12.41,12.38,12.34,12.30,12.26,12.22,12.18,12.14,12.10,12.06,13.72,12.64,11.96,12.51,11.21,10.50,10.45,10.56,11.11,11.79,12.03,11.60,11.62,12.00,12.01,12.01
Montenegro,MNE,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,19.75,19.40,17.15,19.09,19.65,19.67,19.97,19.50,18.00,17.54,17.72,16.07
Mongolia,MNG,6.49,6.45,6.40,6.36,6.32,6.28,6.24,6.20,6.16,6.11,6.07,6.03,5.99,5.95,5.91,5.87,5.82,7.20,5.56,5.86,6.55,4.77,3.90,4.23,4.80,4.86,7.24,6.36
Mauritania,MRT,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86,9.86
Mauritius,MUS,11.15,10.98,10.82,10.65,10.49,10.33,10.16,10.00,9.84,9.67,9.51,9.34,9.18,9.02,8.34,9.52,9.04,8.48,7.91,7.26,7.65,7.62,7.47,7.32,7.47,7.41,6.81,6.75
Malawi,MWI,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.74,8.22,5.95,5.95,5.95,5.95,5.76
North America,NAC,5.86,7.16,7.88,7.35,6.55,6.03,5.86,5.40,4.88,4.55,4.27,4.98,5.98,6.15,5.70,5.26,4.80,4.77,5.82,9.16,9.46,8.79,7.84,7.34,6.25,5.46,5.10,4.57
Namibia,NAM,19.14,19.14,19.14,19.14,19.40,19.40,19.40,24.45,24.45,24.45,20.30,20.30,20.30,20.30,22.09,22.09,22.09,22.09,22.09,22.09,22.10,19.00,16.77,19.03,18.52,19.86,23.35,23.00
New Caledonia,NCL,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,16.31,16.31,16.31,16.31,16.31,13.97,13.97,13.97,13.97,13.97,14.59,14.59,14.59,14.59
Nigeria,NGA,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.70,4.56,4.31,4.31,4.31
Netherlands,NLD,7.67,7.28,5.56,6.28,7.16,7.16,6.42,5.51,4.39,3.62,2.73,2.12,2.55,3.59,4.65,4.72,3.90,3.18,2.75,3.41,4.45,4.98,5.82,7.24,7.42,6.87,6.01,4.84
Norway,NOR,5.26,5.41,5.91,5.97,5.35,6.31,5.04,4.69,3.74,3.25,3.46,3.74,4.02,4.22,4.26,4.38,3.40,2.49,2.55,3.10,3.52,3.21,3.12,3.42,3.48,4.30,4.68,4.16
New Zealand,NZL,7.98,10.61,10.67,9.80,8.35,6.46,6.29,6.86,7.72,7.02,6.13,5.43,5.28,4.75,4.01,3.81,3.86,3.66,4.17,6.12,6.56,6.49,6.93,6.26,5.75,5.37,5.10,4.70
OECD members,OED,5.77,5.84,6.58,6.92,6.74,6.50,6.35,6.00,6.27,6.24,5.83,6.09,6.22,6.78,6.62,6.27,5.61,5.29,5.64,8.08,8.32,7.95,7.89,7.90,7.35,6.77,6.32,5.75
Pakistan,PAK,1.97,5.85,5.18,4.28,4.26,5.03,4.79,5.81,5.70,5.35,7.16,6.88,7.83,7.49,7.40,7.05,0.58,0.40,0.42,0.54,0.65,0.80,4.08,2.95,1.83,3.57,3.67,3.77
Panama,PAN,11.60,16.12,14.67,13.26,14.00,14.01,14.32,13.37,14.02,11.75,13.53,14.71,14.11,13.62,12.44,10.33,9.11,6.78,6.67,6.56,3.71,2.31,2.39,2.30,2.72,3.00,3.31,3.90
Peru,PER,8.60,5.80,9.40,9.40,9.40,9.40,7.07,7.69,7.75,7.99,7.99,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
Philippines,PHL,11.23,10.60,9.87,9.29,9.48,9.53,8.56,8.78,10.25,9.81,11.19,3.70,11.51,3.53,3.55,3.80,4.05,3.43,3.72,3.86,3.61,3.59,3.50,3.50,3.60,2.86,2.71,2.55
Poland,POL,11.96,12.64,13.32,14.00,14.44,13.34,12.35,10.96,9.94,12.29,16.31,18.37,21.74,19.37,19.07,17.75,13.84,9.60,7.12,8.17,9.64,9.63,10.09,10.33,8.99,7.50,6.16,4.89
Puerto Rico,PRI,14.60,14.60,14.60,14.60,14.60,14.60,14.60,14.60,14.60,14.60,14.60,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,14.30,13.90,12.80,11.80,10.80
Portugal,PRT,4.64,4.20,3.98,5.30,6.71,7.06,7.30,6.57,4.65,4.58,3.81,3.91,4.50,6.13,6.32,7.58,7.65,7.96,7.55,9.43,10.77,12.68,15.53,16.18,13.89,12.44,11.07,8.87
Paraguay,PRY,5.80,5.10,4.98,5.06,4.41,3.40,8.15,5.36,7.00,9.40,7.61,7.42,7.11,6.81,6.51,4.82,5.28,4.71,4.42,5.46,5.03,5.05,5.08,5.11,5.13,5.16,5.18,5.21
West Bank and Gaza,PSE,21.05,21.24,21.43,21.62,21.81,22.00,22.19,22.37,22.56,22.75,13.53,25.30,31.22,25.48,26.79,23.52,23.74,21.72,26.60,24.59,23.77,20.86,22.89,23.33,27.01,26.01,27.08,28.42
Pacific island small states,PSS,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
Post-demographic dividend,PST,5.68,5.73,5.78,6.74,5.72,5.90,6.13,5.92,6.51,6.39,5.87,5.85,6.31,6.31,5.98,5.64,5.30,5.02,5.43,8.00,8.31,7.96,7.96,7.92,7.40,6.81,6.43,5.88
Qatar,QAT,2.19,2.11,2.02,1.94,1.86,1.78,1.70,1.62,1.53,1.45,1.37,1.29,1.21,1.12,1.48,1.22,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.20,0.17,0.15,0.14
Romania,ROU,8.51,8.42,8.26,8.33,8.17,8.01,6.74,5.51,5.63,6.24,6.97,6.56,6.15,6.95,7.72,7.17,7.27,6.41,5.79,6.86,6.96,7.18,6.79,7.10,6.80,6.81,5.90,4.93
Russian Federation,RUS,3.78,4.48,5.18,5.88,8.13,9.45,9.66,11.81,13.26,13.04,10.58,8.98,7.88,8.21,7.76,7.12,7.05,6.00,6.20,8.30,7.37,6.54,5.44,5.46,5.16,5.57,5.56,5.21
Rwanda,RWA,0.30,0.30,0.30,0.30,0.30,0.30,0.56,0.56,0.56,0.56,0.56,0.56,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.17,17.36,17.36,17.36
South Asia,SAS,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,3.24,3.24,3.24,3.24,3.24,3.62,3.62,3.62,3.62,3.62,2.40,2.40,2.69,2.69,2.69,2.69,2.69,2.69
Saudi Arabia,SAU,7.50,7.35,7.20,7.05,6.60,6.15,5.70,5.25,4.80,4.35,4.57,4.62,5.27,5.56,5.82,6.05,6.25,5.73,5.08,5.38,5.55,5.77,5.52,5.57,5.72,5.59,5.65,5.89
Sudan,SDN,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80,13.00,13.00,17.44,17.44,17.44,17.44,17.44,17.44,17.44
Senegal,SEN,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,10.03,10.03,10.03,10.03,10.03,10.36,10.36,10.36,10.36,6.76,6.76,6.76
Singapore,SGP,2.15,2.18,2.21,2.11,2.20,3.30,2.25,2.01,3.56,3.92,5.07,2.77,3.70,4.20,3.55,4.26,2.79,2.18,2.24,2.85,2.07,1.87,1.79,1.71,1.69,1.69,1.80,1.80
Sierra Leone,SLE,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,4.68,4.68,4.68,4.68
El Salvador,SLV,9.96,7.53,8.20,9.94,7.68,7.65,7.68,7.98,7.10,6.68,6.96,6.96,5.73,6.26,6.05,7.22,7.51,7.02,5.88,7.33,4.89,4.30,3.85,3.69,4.16,4.00,4.42,4.39
San Marino,SMR,5.50,4.30,4.20,5.10,3.90,3.90,5.10,4.40,4.10,3.00,2.80,2.60,2.40,2.20,2.00,2.11,1.63,3.32,3.67,4.02,4.37,5.06,5.19,6.08,6.61,7.38,6.45,5.52
Serbia,SRB,13.66,13.62,13.59,13.56,13.52,13.40,13.20,13.80,13.70,13.70,12.60,12.80,13.80,15.20,18.50,20.85,20.85,18.06,13.70,16.14,19.22,22.97,24.00,22.15,19.22,17.66,15.26,13.48
South Sudan,SSD,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15
Sao Tome and Principe,STP,19.76,19.51,19.27,19.02,18.77,18.52,18.27,18.02,17.77,17.52,17.27,15.73,17.63,16.36,16.12,16.47,16.65,16.10,15.55,15.00,14.45,13.90,13.59,13.58,13.57,13.56,13.55,13.54
Suriname,SUR,15.65,15.39,17.28,15.64,12.70,8.39,10.88,10.56,10.63,13.60,9.53,8.88,8.22,7.57,9.49,8.93,8.72,8.51,8.30,8.72,7.15,7.54,8.10,6.60,6.94,7.22,6.63,6.42
Slovak Republic,SVK,14.93,14.51,14.10,13.68,13.65,13.11,11.34,11.89,12.19,15.95,19.06,20.32,18.72,17.12,18.60,16.26,13.37,11.14,9.51,12.03,14.38,13.62,13.96,14.22,13.18,11.48,9.67,8.13
Slovenia,SVN,8.56,7.08,9.18,8.51,8.24,7.15,6.91,6.65,7.39,7.32,6.92,5.68,5.92,6.48,6.01,6.51,5.95,4.82,4.37,5.86,7.24,8.17,8.84,10.10,9.67,8.96,8.00,6.56
Sweden,SWE,1.83,3.24,5.72,9.33,9.58,8.90,9.55,10.36,8.94,7.61,5.47,4.73,4.97,5.55,6.69,7.49,7.07,6.16,6.23,8.35,8.61,7.80,7.98,8.05,7.95,7.43,6.99,6.72
Eswatini,SWZ,21.65,21.65,21.65,21.65,21.65,21.65,21.65,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,22.72,22.72
Seychelles,SYC,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,10.35,9.81,9.81,9.81,5.50,5.50,5.50,5.50,5.50,5.50,4.11,4.11,4.11,3.84,4.15,3.96,3.71
Syrian Arab Republic,SYR,6.70,6.75,7.57,7.40,7.50,7.20,7.17,7.07,6.97,7.60,8.23,11.63,11.68,10.28,8.62,8.68,8.17,8.42,10.94,8.14,8.61,9.04,9.10,9.16,9.22,9.28,9.34,9.40
East Asia & Pacific (IDA & IBRD countries),TEA,2.61,2.59,2.54,2.80,2.97,3.06,3.17,3.33,3.54,3.61,3.59,3.77,4.34,4.31,4.29,4.46,4.35,4.29,4.40,4.22,3.93,3.87,3.82,3.75,3.76,3.71,3.68,3.73
Europe & Central Asia (IDA & IBRD countries),TEC,7.10,7.37,6.51,7.33,8.43,8.39,8.88,9.58,10.52,11.19,9.78,9.44,8.35,9.41,9.22,8.63,8.04,7.50,7.32,8.92,8.61,7.84,7.31,7.47,7.37,7.44,7.34,7.04
Togo,TGO,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.98,1.98,1.98,5.47,2.20,2.20,2.20
Thailand,THA,2.21,2.63,1.35,1.49,1.35,1.10,1.07,0.87,3.40,2.97,2.39,2.60,1.82,1.54,1.51,1.35,1.22,1.18,1.18,1.49,0.62,0.66,0.58,0.49,0.58,0.60,0.69,0.74
Tajikistan,TJK,0.40,0.40,0.40,1.20,1.70,2.00,2.60,2.70,3.20,3.00,2.70,2.30,2.50,2.40,2.00,2.00,2.20,2.50,2.74,2.80,2.87,2.93,2.99,3.05,3.12,3.18,3.24,3.30
Latin America & the Caribbean (IDA & IBRD countries),TLA,7.04,6.70,6.36,6.02,5.68,8.05,8.52,8.13,8.90,9.63,10.37,9.04,9.94,9.45,8.48,8.37,7.17,7.34,6.68,7.65,7.54,6.51,6.79,7.15,7.51,7.88,8.24,8.60
Timor-Leste,TLS,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,10.99,10.99,10.99,4.66,4.66
Middle East & North Africa (IDA & IBRD countries),TMN,12.45,12.45,14.62,14.46,14.30,14.15,13.99,13.83,13.67,13.51,13.35,13.20,13.57,12.82,11.82,12.40,12.99,10.41,10.29,10.43,10.99,11.68,11.91,11.46,11.44,11.81,11.81,12.06
Tonga,TON,4.16,4.16,4.16,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,5.18,5.18,5.18,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
South Asia (IDA & IBRD),TSA,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,3.24,3.24,3.24,3.24,3.24,3.62,3.62,3.62,3.62,3.62,2.40,2.40,2.69,2.69,2.69,2.69,2.69,2.69
Trinidad and Tobago,TTO,19.88,18.52,19.66,19.81,18.44,17.22,16.25,15.01,14.21,13.12,12.10,10.88,10.39,10.48,8.33,7.95,6.27,5.54,4.63,5.28,3.77,3.25,3.45,2.46,2.22,2.21,2.97,2.85
Tunisia,TUN,14.19,14.22,14.24,14.27,14.30,14.33,14.35,15.94,15.48,15.21,14.94,14.40,14.55,14.51,14.23,12.87,12.51,12.36,12.44,13.29,13.05,18.33,17.63,15.93,15.21,15.22,15.51,14.10
Turkey,TUR,8.02,8.21,8.51,8.96,8.58,7.64,6.63,6.84,6.89,7.69,6.49,8.38,10.36,10.54,10.84,10.64,8.72,8.87,9.71,12.55,10.66,8.80,8.15,8.73,9.88,10.24,10.84,10.82
Tanzania,TZA,3.57,3.60,3.54,3.48,3.42,3.36,3.30,3.24,3.18,3.12,3.06,2.99,3.60,3.52,3.44,3.36,3.30,3.12,2.94,2.50,3.20,3.47,3.74,2.93,2.12,2.75,2.68,2.61
Uganda,UGA,0.63,0.94,0.92,1.42,1.57,1.81,2.05,2.29,2.53,2.77,3.01,3.25,3.49,3.60,2.40,1.90,2.40,2.90,3.40,3.60,3.59,3.57,3.55,1.91,4.00,6.09,8.18,9.44
Ukraine,UKR,5.52,5.54,5.56,5.58,5.60,5.62,7.65,8.93,11.32,11.86,11.71,11.06,10.14,9.06,8.59,7.18,6.81,6.35,6.36,8.84,8.10,7.86,7.53,7.17,9.27,9.10,9.30,9.50
Upper middle income,UMC,3.08,3.09,3.48,3.59,3.93,4.43,4.45,4.63,5.08,5.25,4.88,5.47,5.91,6.01,5.74,5.77,5.44,5.34,5.28,5.84,5.41,5.35,5.17,5.05,5.06,4.99,4.92,5.80
Uruguay,URY,8.53,8.95,8.96,8.35,9.04,10.02,11.00,11.44,9.78,11.29,13.33,14.90,16.91,16.35,12.98,12.01,10.84,9.40,8.03,7.74,7.16,6.31,6.45,6.44,6.55,7.49,7.84,7.89
United States,USA,5.60,6.80,7.50,6.90,6.12,5.65,5.45,5.00,4.51,4.22,3.99,4.73,5.78,5.99,5.53,5.08,4.62,4.62,5.78,9.25,9.63,8.95,7.90,7.37,6.17,5.28,4.87,4.36
Uzbekistan,UZB,0.20,0.20,0.20,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.30,0.40,0.30,0.20,0.30,0.40,5.04,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83
St. Vincent and the Grenadines,VCT,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,19.77,21.10,21.10,21.10,21.10,21.10,21.10,21.10,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79,18.79
"Venezuela, RB",VEN,13.96,3.52,5.20,6.88,8.56,10.24,11.77,13.40,15.01,16.61,18.22,8.83,16.17,16.78,21.88,10.66,8.61,7.28,6.25,6.10,7.11,6.90,6.60,7.05,7.20,7.35,7.50,7.65
Vietnam,VNM,3.01,2.94,2.86,2.79,2.72,2.64,1.93,2.87,2.29,2.33,2.26,2.76,2.12,2.25,2.14,1.89,1.71,1.54,1.37,1.74,1.11,1.00,1.03,1.25,1.26,1.86,1.85,1.89
World,WLD,4.12,4.23,4.33,4.44,4.49,4.70,4.78,4.86,4.94,5.02,5.10,5.10,5.20,5.30,5.40,5.50,6.72,6.50,6.27,6.25,5.39,5.84,5.35,5.15,4.92,4.70,4.47,4.25
Samoa,WSM,1.80,2.10,2.40,2.70,3.00,3.30,3.60,3.90,4.20,4.50,4.80,4.96,4.30,3.64,2.98,2.32,1.29,2.15,3.01,3.87,4.73,5.68,8.75,8.73,8.72,11.00,13.28,14.47
"Yemen, Rep.",YEM,8.38,8.37,8.36,8.35,8.34,5.00,3.00,4.54,8.00,11.46,15.52,15.56,15.60,15.65,16.23,16.05,15.70,15.33,14.97,14.63,17.82,16.75,17.11,17.46,13.47,13.82,12.87,11.92
South Africa,ZAF,21.31,22.02,22.74,23.45,24.17,24.88,25.60,26.31,25.00,25.37,30.23,30.90,33.47,32.46,29.58,29.25,28.49,26.67,22.43,23.54,24.69,24.65,24.73,24.57,24.90,25.16,26.55,27.07
Zambia,ZMB,15.00,18.90,19.20,19.70,18.10,16.20,15.30,14.40,12.00,12.30,12.93,13.34,13.81,14.27,14.74,15.90,12.00,8.10,7.93,10.70,13.19,10.40,7.85,8.50,9.15,9.80,10.45,11.63
