,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia (excluding high income),ECA,10.72756483,9.765235437,9.37267016,9.145322385,8.855130695,8.32283469,7.784417235,6.902054078,6.922974345,8.261018908,7.859431829,7.404444495,6.832789574,6.922690261,6.99330188,7.286409613,7.223024564,7.024995266
Europe & Central Asia,ECS,10.6304812,9.643784043,9.51297378,9.44429971,9.423582231,9.065819846,8.399701391,7.405368741,7.228625247,8.573240075,8.760877741,8.669762348,8.872285945,9.124004834,8.860466497,8.523151226,8.088466874,7.517212765
Ecuador,ECU,6.386000156,5.241000175,5.764999866,6.160999775,5.717000008,4.712999821,4.373000145,3.91899991,5.008999825,5.885000229,4.967999935,4.289000034,3.822000027,3.664999962,4.144999981,4.521999836,5.847000122,4.927000046
"Egypt, Arab Rep.",EGY,22.94400024,21.97400093,24.05200005,23.67099953,25.36899948,25.10199928,23.91600037,18.41900063,18.86700058,22.39599991,22.11000061,22.45299911,24.01600075,24.16600037,23.99900055,24.94599915,23.72200012,23.09799957
Euro area,EMU,11.4620236,9.931981755,10.00677898,10.14575913,10.39357409,10.02701251,9.336419913,8.382622856,8.19294002,9.626500231,10.19789108,10.36718566,11.45665347,12.05251224,11.7777163,11.01736306,10.36091646,9.423723043
Spain,ESP,20.36800003,15.06200027,16.06599998,15.70100021,15.05099964,11.99199963,11.35200024,10.70400047,12.84300041,18.12800026,20.22699928,21.81399918,25.03499985,26.67499924,25.43000031,23.55400085,21.38800049,19.03800011
Estonia,EST,11.60700035,13.23700047,8.675999641,10.38000011,8.828000069,6.90500021,5.585000038,3.755000114,5.136000156,10.29399967,14.08699989,11.57699966,9.098999977,8.154000282,6.811999798,6.133999825,6.06799984,5.301000118
Ethiopia,ETH,4.632999897,4.298999786,4.092999935,3.854000092,3.559999943,3.282999992,3.025000095,2.844000101,2.773000002,3.062999964,3.101000071,3.010999918,2.915999889,2.950000048,2.792999983,2.688999891,2.576999903,2.430999994
European Union,EUU,10.62313982,9.693291246,9.843476008,9.754129321,9.901223239,9.66264455,8.910175789,7.816538031,7.457765735,8.823081906,9.487263833,9.706660377,10.48388632,10.86589238,10.31957753,9.481024222,8.727566139,7.837532081
Finland,FIN,11.99400043,10.76000023,10.17000008,9.937999725,10.57600021,8.61400032,8.083000183,7.191999912,6.690000057,7.572000027,7.639999866,7.103000164,7.052999973,7.518000126,7.953000069,8.842000008,8.581999779,8.388999939
Fiji,FJI,5.449999809,5.355000019,5.486000061,5.373000145,5.423999786,5.160999775,4.84800005,4.559999943,4.269000053,4.617000103,4.677000046,4.614999771,4.879000187,5.019999981,5.454999924,5.671000004,5.56400013,5.379000187
France,FRA,12.23400021,10.54599953,9.817000389,9.147000313,9.894000053,9.286000252,9.125,8.095000267,7.449999809,8.80300045,9.069999695,9.121999741,9.357999802,9.786999702,10.02400017,9.873999596,9.848999977,9.335000038
United Kingdom,GBR,4.857999802,4.111000061,4.360000134,4.061999798,4.18900013,4.290999889,4.943999767,4.959000111,5.084000111,6.416999817,6.872000217,7.337999821,7.383999825,7.037000179,5.820000172,5.124000072,4.683000088,4.218999863
Georgia,GEO,10.49800014,10.64099979,10.99199963,11.54199982,11.76399994,12.67199993,11.65699959,12.56200027,17.5890007,16.91600037,15.4630003,15.26399994,16.13100052,14.55799961,12.31499958,12.375,10.84599972,12.69999981
Ghana,GHA,10.6789999,9.534000397,8.765000343,7.736000061,6.637000084,5.68900013,4.767000198,4.730999947,4.959000111,5.546999931,5.787000179,6.429999828,6.443999767,6.617000103,6.456999779,6.573999882,6.527999878,6.510000229
Greece,GRC,17.17200089,16.01799965,15.43900013,14.55099964,16.05800056,15.50800037,13.81799984,12.95699978,11.55099964,13.3210001,16.37899971,21.56399918,28.26600075,31.40200043,30.22599983,28.91600037,28.16799927,26.13800049
Guatemala,GTM,3.503000021,3.335999966,3.473999977,3.41899991,3.378000021,3.433000088,3.434999943,3.464999914,3.400000095,3.632999897,3.844000101,6.587999821,3.453000069,3.654999971,3.380000114,3.540999889,3.960000038,3.730999947
Guyana,GUY,15.10000038,15.05799961,15.23499966,15.12800026,14.96399975,14.42099953,14.09899998,14.02999973,13.89700031,14.86699963,15.2329998,15.40100002,15.61999989,16.00600052,16.07500076,16.22599983,15.98600006,15.7329998
"Hong Kong SAR, China",HKG,4.013999939,3.85800004,5.895999908,6.184999943,5.546000004,4.409999847,3.72300005,3.374000072,2.979000092,4.327000141,3.510999918,2.792999983,2.755000114,2.969000101,3.010999918,3.190999985,3.078000069,2.773999929
Honduras,HND,4.059000015,4.078999996,4.793000221,6.548999786,8.300000191,6.445000172,4.431000233,4.335000038,3.86500001,4.295000076,5.44299984,6.381999969,5.172999859,5.131000042,6.980000019,6.455999851,5.552999973,5.580999851
Croatia,HRV,17.34000015,17.90699959,17.31800079,15.64000034,15.27799988,13.8380003,12.67700005,11.34000015,10.34399986,10.70699978,12.30500031,13.72000027,15.9829998,16.75900078,18.26499939,16.89800072,13.7869997,11.90400028
Hungary,HUN,5.785999775,4.873000145,5.074999809,5.383999825,5.856999874,7.427999973,7.914000034,7.735000134,8.005000114,9.739999771,10.66100025,10.9829998,10.60999966,10.13500023,7.913000107,7.039000034,5.107999802,4.571000099
Indonesia,IDN,6.710000038,7.381000042,7.855999947,8.307999611,9.182999611,10.05300045,9.288999557,9.909999847,8.107999802,6.701000214,6.395999908,5.566999912,4.784999847,4.265999794,3.882999897,4.429999828,3.86500001,3.921000004
India,IND,2.398999929,2.681999922,3.085999966,3.568000078,3.852999926,4.173999786,3.734999895,3.321000099,2.98300004,3.226999998,3.316999912,3.484999895,3.707000017,3.855999947,3.838999987,3.895999908,3.809000015,3.558000088
Ireland,IRL,4.267000198,3.549000025,3.746999979,4.006000042,3.829999924,4.008999825,4.210999966,4.927999973,5.701000214,9.501999855,11.40100002,12.49100018,12.74199963,12.41699982,10.86699963,8.899000168,7.583000183,6.291999817
"Iran, Islamic Rep.",IRN,18.89100075,20.11100006,21.83300018,19.05599976,16.19000053,18.24300003,16.17099953,15.94499969,16.82699966,16.97200012,20.65200043,20.54999924,20.57999992,19.69099998,19.69000053,19.41900063,20.68799973,19.97800064
Iraq,IRQ,7.96999979,7.862999916,7.982999802,8.324000359,8.552000046,8.13599968,7.752999783,7.43599987,8.107000351,9.800000191,10.7329998,11.5,12.48499966,12.55900002,12.30500031,12.51200008,12.59899998,12.22099972
Iceland,ISL,2.621999979,2.237999916,2.648999929,3.969000101,2.756000042,2.490999937,3.055999994,2.267999887,2.588000059,5.690999985,6.730000019,6.204999924,5.663000107,5.076000214,4.784999847,4.051000118,3.046000004,2.717999935
Israel,ISR,11.16399956,12.01299953,12.74100018,13.81099987,13.76799965,11.63300037,11.04300022,9.812999725,7.856999874,9.180999756,7.949999809,6.951000214,6.977000237,6.237999916,5.918000221,5.393000126,4.941999912,4.320000172
Italy,ITA,14.86299992,13.03199959,12.60900021,11.94900036,10.23900032,10.05799961,8.784000397,7.84800005,8.505000114,9.230999947,9.605999947,9.55300045,11.83500004,13.07299995,13.80599976,12.69999981,12.78299999,12.39500046
Japan,JPN,4.462999821,4.703000069,5.15899992,4.940999985,4.403999805,4.165999889,3.867000103,3.779999971,3.822999954,4.808000088,4.631000042,4.138999939,3.954999924,3.657999992,3.426000118,3.112999916,2.813999891,2.63499999
Kyrgyz Republic,KGZ,8.845999718,9.177000046,14.25699997,11.00399971,9.267000198,9.05300045,9.031999588,9.090000153,9.402000427,9.770000458,9.93999958,9.852000237,9.475000381,9.663000107,9.49600029,9.029000282,8.743000031,8.871999741
Cambodia,KHM,2.769000053,1.934000015,1.86500001,1.774999976,1.746000051,1.651000023,1.414000034,1.243000031,1.157999992,1.174000025,1.22300005,1.195000052,1.139000058,1.146000028,1.100000024,1.067000031,1.013000011,0.953000009
Latin America & Caribbean (excluding high income),LAC,11.08492001,10.20782317,10.44858503,10.75172115,10.39787781,9.781605223,9.002133655,8.670906603,8.101197441,9.287876148,8.672700577,8.090938504,7.730724414,7.633905908,7.238417564,7.939909054,9.325506711,9.697364322
Lao PDR,LAO,1.93900001,1.789000034,1.786000013,1.657999992,1.521000028,1.355000019,1.100999951,0.870999992,0.72299999,0.757000029,0.661000013,0.662999988,0.649999976,0.675999999,0.656000018,0.634000003,0.598999977,0.555000007
Lebanon,LBN,9.93599987,9.74600029,9.815999985,9.68999958,9.567000389,9.942000389,10.01799965,10.18500042,10.14799976,10.55300045,10.69499969,10.56799984,10.49699974,10.47200012,10.28800011,10.15799999,10.12800026,9.866999626
Liberia,LBR,2.76699996,2.596999884,2.690000057,2.644999981,2.571000099,2.440999985,2.220999956,2.020999908,1.940000057,2.25,2.289999962,2.302999973,2.295000076,2.321000099,2.236999989,2.209000111,2.16899991,2.045000076
Latin America & Caribbean,LCN,11.51633523,10.80185729,11.11721624,11.29778692,10.86113983,10.12576392,9.332819594,8.86414867,8.325108011,9.434678161,8.745552179,8.135657969,7.814035215,7.673280808,7.313000559,7.95290813,9.214206047,9.571659393
Sri Lanka,LKA,11.46899986,11.41499996,13.01000023,12.85299969,12.90400028,11.875,9.887000084,9.12100029,8.187000275,8.725000381,7.809999943,6.93200016,6.175000191,6.909999847,7.339000225,7.78000021,7.072999954,6.769000053
Lower middle income,LMC,5.252853283,5.436275063,5.574132832,5.761919628,5.936505381,6.022176891,5.533623773,5.244466955,4.904858415,5.049058617,4.867774485,4.819283746,4.84902499,4.953263237,4.932067717,5.32117645,5.245875385,5.09930383
Lithuania,LTU,13.60400009,14.0909996,12.78299999,13.20100021,11.06599998,8.534999847,5.611000061,4.328999996,5.627999783,10.52700043,14.51900005,12.9119997,11.57499981,10.47999954,9.222999573,8.161000252,6.65199995,5.677999973
Luxembourg,LUX,3.141000032,2.16899991,3.63499999,4.710999966,7.093999863,5.827000141,6.269999981,4.72300005,6.027999878,6.126999855,5.097000122,6.258999825,5.90899992,6.387000084,5.765999794,7.348999977,6.631000042,5.499000072
Latvia,LVA,13.375,12.46100044,12.75500011,12.02099991,12.27299976,9.970000267,6.735000134,5.565000057,7.074999809,14.12699986,16.2840004,13.78199959,13.94099998,11.13899994,9.833999634,8.637000084,8.399999619,7.673999786
"Macao SAR, China",MAC,4.613999844,4.401000023,4.493000031,4.709000111,4.039000034,3.785000086,3.799999952,2.891000032,2.79399991,2.844000101,2.079999924,2.154999971,1.651000023,1.396999955,1.437000036,1.600999951,1.493999958,1.592000008
Moldova,MDA,7.236000061,5.925000191,5.554999828,6.380000114,6.324999809,5.967000008,5.796999931,3.877000093,3.368999958,4.885000229,5.729000092,5.586999893,4.285999775,4.139999866,3.059999943,2.920000076,2.880000114,3.338000059
Madagascar,MDG,5.876999855,5.401000023,5.487999916,5.559000015,4.15500021,3.164000034,3.339999914,3.395999908,3.555999994,4.518000126,5.324999809,2.335999966,0.626999974,0.967000008,1.381999969,1.845999956,1.815999985,1.728999972
North Macedonia,MKD,34.89899826,32.05599976,32.30400085,36.27999878,37.81200027,38.43999863,37.20100021,35.54199982,34.1570015,32.81600189,32.24000168,30.79000092,30.33300018,29.02000046,28.61899948,25.06299973,22.72599983,21.82099915
Mali,MLI,5.955999851,7.132999897,8.342000008,9.687000275,10.84599972,12.00300026,12.46500015,12.96700001,12.0369997,11.90499973,10.8920002,8.637999535,8.204000473,7.829999924,6.291999817,8.793000221,11.43500042,11.0880003
Malta,MLT,6.531000137,8.06799984,8.30300045,9.902999878,8.255000114,8.369000435,8.317000389,7.894999981,6.776000023,7.627999783,7.131999969,7.130000114,7.320000172,6.252999783,5.328000069,5.198999882,5.208000183,4.657999992
Montenegro,MNE,35.58800125,35.41600037,36.0320015,36.34500122,36.03499985,35.62599945,27.81800079,20.97900009,18.33499908,20.4279995,20.7329998,20.13199997,20.24900055,18.81800079,18.22100067,17.30500031,17.07600021,16.95000076
Mongolia,MNG,5.998000145,5.938000202,6.199999809,6.418000221,6.993000031,7.357999802,6.90199995,7.145999908,5.172999859,6.175000191,5.888000011,4.421000004,3.516000032,4.468999863,4.397999763,4.243999958,5.869999886,5.638999939
Mauritius,MUS,12.01799965,11.54199982,11.58300018,12.61999989,13.36200047,16.31900024,15.49400043,14.38199997,12.6239996,12.30099964,12.93900013,11.71899986,11.72099972,11.15999985,10.84000015,10.70199966,10.42199993,10.02999973
Malawi,MWI,10.73999977,10.64900017,10.73099995,10.63899994,10.48600006,10.16699982,9.206999779,8.354999542,7.894999981,8.109999657,7.854000092,7.677000046,7.340000153,6.993999958,6.897999763,6.793000221,6.696000099,6.461999893
Malaysia,MYS,3.058000088,3.788000107,3.778000116,3.635999918,3.805000067,3.704999924,3.391000032,3.444999933,3.673000097,3.79399991,3.431999922,3.313999891,3.161999941,3.437000036,3.22300005,3.392999887,3.930999994,3.914000034
North America,NAC,4.35908697,4.875136298,5.76613856,5.818416691,5.55151028,5.241405759,4.782375371,4.623322641,5.442824781,7.944358653,8.460993399,8.298035421,7.771191781,7.017674491,6.095923345,5.300828958,4.950273839,4.480696318
Namibia,NAM,21.68099976,22.10899925,23.54199982,24.39800072,25.15099907,24.77000046,23.66600037,22.86499977,22.12599945,23.43000031,24.01600075,21.81500053,18.99099922,20.69599915,20.37199974,22.73699951,25.01199913,24.46999931
New Caledonia,NCL,20.71800041,20.29800034,19.90200043,19.76499939,19.55900002,18.79299927,17.83200073,17.00600052,16.26399994,16.29400063,16.3239994,16.59700012,16.35400009,16.03300095,15.60200024,15.40100002,15.14900017,14.89599991
Niger,NER,0.989000022,0.999000013,1.414000034,1.886999965,2.319000006,2.707999945,1.942000031,1.337000012,0.894999981,0.745999992,0.444999993,0.221000001,0.224999994,0.209999993,0.211999997,0.194999993,0.194999993,0.165999994
Nigeria,NGA,3.640000105,3.779999971,3.987999916,3.953999996,3.842000008,3.707999945,3.486999989,3.286999941,3.273999929,3.628999949,3.684999943,3.513000011,3.392999887,3.358999968,4.290999889,5.385000229,6.546000004,6.302999973
Netherlands,NLD,3.461999893,2.516000032,2.887000084,3.795000076,5.040999889,5.06799984,4.361999989,3.637000084,3.009000063,3.463999987,4.511000156,5.416999817,6.230999947,7.302000046,7.747000217,7.276000023,6.510000229,5.257999897
Norway,NOR,3.276000023,3.612999916,4.093999863,3.95600009,3.923000097,4.191999912,3.344000101,2.423000097,2.364000082,2.604000092,2.944000006,2.990999937,2.634000063,3.232000113,3.234999895,3.999000072,3.913000107,3.690999985
New Zealand,NZL,5.978000164,5.381999969,5.468999863,5.111999989,4.520999908,4.146999836,4.198999882,3.96600008,4.263999939,6.143000126,6.93200016,6.761000156,7.393000126,6.96999979,6.541999817,5.864999771,5.473999977,5.197999954
OECD members,OED,6.969054038,6.77044598,7.210318315,7.320604106,7.314741606,6.995190992,6.42230031,5.896655135,6.058471696,7.723616258,8.049948716,7.953161036,8.03103711,7.937132049,7.473174131,6.868062152,6.444014363,5.9334452
Oman,OMN,8.305000305,8.482000351,8.18999958,7.854000092,7.875999928,7.980000019,7.916999817,7.815999985,7.958000183,9.597000122,10.35200024,10.68999958,11.69699955,12.94900036,12.8739996,13.10000038,13.21100044,12.63099957
Other small states,OSS,16.87753947,17.20642793,16.90877302,17.29157121,16.75518872,16.2647625,15.13537932,14.18722264,13.7335535,14.74354171,15.30466701,14.9234622,14.40868814,14.63546647,14.27463855,14.19107095,14.1393789,13.71031125
Pakistan,PAK,0.338999987,0.312999994,0.324000001,0.342999995,0.36500001,0.379999995,0.323000014,0.244000003,0.533999979,0.35800001,0.638999999,0.66900003,1.679999948,3.426000118,2.013999939,6.178999901,5.991000175,5.605999947
Panama,PAN,5.688000202,5.793000221,5.987999916,5.896999836,5.913000107,5.78399992,5.467999935,4.940000057,4.652999878,5.152999878,5.098999977,2.696000099,3.058000088,3.08100009,3.523999929,3.928999901,3.937000036,5.110000134
Peru,PER,5.787000179,5.736000061,5.920000076,4.643000126,5.370999813,4.868000031,4.752999783,4.563000202,4.545000076,3.950000048,3.805000067,3.618999958,3.499000072,3.540999889,3.073999882,2.961999893,3.572000027,3.502000093
Philippines,PHL,4.15899992,4.019999981,3.917000055,3.842999935,3.888999939,4.198999882,4.329999924,3.71600008,4.006999969,4.131999969,3.789999962,3.828999996,3.733999968,3.823999882,3.724999905,3.265000105,2.869999886,2.701999903
Puerto Rico,PRI,7.399000168,9.17800045,10.30599976,10.64599991,8.604999542,10.0909996,10.54800034,9.524000168,9.645999908,12.41100025,12.55099964,12.61600018,12.05500031,11.81499958,11.35700035,9.640999794,9.425999641,8.359000206
Paraguay,PRY,12.13000011,12.09799957,11.84200001,8.357999802,8.394000053,6.275000095,6.684999943,6.686999798,5.988999844,6.664999962,6.066999912,6.418000221,5.46600008,4.97300005,6.823999882,4.947999954,6.742000103,5.440000057
West Bank and Gaza,PSE,12.37300014,13.7869997,17.03000069,18.23999977,20.04299927,22.21500015,20.52300072,19.06999969,24.16900063,26.37700081,26.74399948,28.34199905,32.86000061,34.98400116,38.39899826,39.00099945,44.6590004,47.2879982
Post-demographic dividend,PST,7.043323666,6.704264578,7.021730009,7.009889693,6.886109493,6.594755109,6.189707581,5.732973627,5.916532601,7.514366597,7.892439264,7.858901347,7.979342793,7.844501276,7.41438309,6.826236174,6.383595313,5.853857283
Romania,ROU,6.369999886,6.002999783,7.59100008,6.375,6.146999836,6.427000046,6.109000206,5.407999992,4.669000149,5.839000225,6.177000046,6.46600008,6.078999996,6.309999943,6.09800005,5.855999947,4.987999916,4.044000149
Russian Federation,RUS,10.36800003,8.597000122,7.598999977,7.951000214,7.517000198,6.934000015,6.68599987,5.642000198,5.94299984,7.670000076,6.835000038,6.085999966,5.068999767,5.135000229,4.821000099,5.308000088,5.347000122,5.051000118
