,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Latin America & the Caribbean (IDA & IBRD countries),TLA,11.60511952,10.90754842,11.24057831,11.44204551,11.02600547,10.26507549,9.454879246,8.989519953,8.433130794,9.551609447,8.828858349,8.186527528,7.857705071,7.713994137,7.355012109,8.027538814,9.314601186,9.681910233
Timor-Leste,TLS,4.837999821,5.231999874,5.234000206,5.264999866,4.752999783,4.487999916,4.083000183,3.934000015,3.855999947,4.15500021,4.268000126,4.15899992,4.18900013,4.252999783,4.230000019,4.313000202,3.933000088,3.858999968
South Asia (IDA & IBRD),TSA,2.532501417,2.780587626,3.171968513,3.589409104,3.891297213,4.202037332,3.753878331,3.404849967,3.156952303,3.440732366,3.201203359,3.408541749,3.744262864,4.152776048,4.005215063,4.427552066,4.32031363,4.047183577
Trinidad and Tobago,TTO,4.43200016,4.316999912,4.368000031,4.534999847,4.493000031,4.21600008,4.074999809,3.914000034,3.746000051,4.198999882,4.295000076,3.990999937,4.268000126,2.941999912,2.561000109,2.60800004,2.953000069,2.746000051
Turkey,TUR,6.271999836,7.484000206,9.465999603,10.1079998,10.98900032,11.18000031,9.097000122,9.145999908,9.979999542,12.60900021,11.38300037,10.06000042,9.36400032,10.53199959,11.81000042,12.56099987,13.59500027,13.85200024
Tanzania,TZA,3.181999922,2.963999987,3.426000118,3.792000055,4.143000126,4.421999931,4.460999966,3.496000051,2.851999998,2.755000114,3.54399991,4.315000057,4.065000057,3.788000107,2.703000069,2.680999994,2.630000114,2.460000038
Uganda,UGA,3.25,3.808000088,4.382999897,4.559999943,3.144000053,2.111999989,2.361000061,2.584000111,3.059999943,4.171999931,4.328000069,4.301000118,4.295000076,2.479000092,2.430999994,2.40199995,2.290999889,2.184000015
Ukraine,UKR,11.26399994,10.7130003,9.769000053,8.710000038,8.291999817,6.822000027,6.602000237,5.997000217,6.085000038,7.298999786,6.815000057,6.842000008,6.440999985,6.217999935,7.519000053,8.079000473,7.697000027,7.751999855
Uruguay,URY,16.30900002,16.1420002,16.06800079,16.25099945,16.61300087,15.26099968,14.23400021,12.76200008,10.94699955,10.46399975,9.467000008,8.100000381,8.312000275,8.229000092,8.361000061,8.857000351,9.453000069,9.482999802
United States,USA,4.099999905,4.652999878,5.610000134,5.660999775,5.396999836,5.097000122,4.626999855,4.5,5.418000221,8.057999611,8.612000465,8.458000183,7.889999866,7.071000099,6.059000015,5.177000046,4.788000107,4.308000088
"Venezuela, RB",VEN,14.61100006,14.12199974,18.93400002,20.50399971,17.95999908,11.54300022,9.777000427,7.644000053,6.369999886,8.996999741,9.440999985,7.204999924,7.107999802,8.602000237,7.765999794,7.68599987,8.076000214,7.959000111
South Africa,ZAF,35.90499878,36.38700104,41.07600021,39.19499969,36.24399948,36.40299988,35.78099823,33.09199905,25.8220005,25.58099937,27.02300072,27.23699951,27.07799911,26.54000092,27.03800011,27.5359993,29,29.48900032
Zimbabwe,ZWE,4.688000202,4.749000072,4.893000126,4.788000107,4.527999878,4.412000179,4.184000015,4.322999954,4.701000214,5.513000011,5.703000069,6.014999866,6.21600008,6.235000134,6.123000145,6.034999847,5.820000172,5.493000031
