Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,DNK,3.518595199,3.725202344,3.931809489,5.460000038,4.369999886,3.569999933,3.420000076,4.730000019,4.440000057,5.849999905,6.679999828,6.389999866,6.599999905,6.260000229,6.190000057,6.269999981,6.519999981,7.019999981
Dominican Republic,DOM,10.96080017,12.35560036,12.49250031,12.94390011,12.27509975,14.26080036,12.80700016,12.75949955,12.46389961,15.41149998,14.44369984,14.84300041,15.36310005,14.94019985,12.68000031,14.65069962,13.81089973,18.27050018
Algeria,DZA,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,11.22999954,10.76000023,15,10.80000019,8.800000191,11.39999962,10.80000019,10.80000019,10.93999958
Europe & Central Asia (excluding high income),ECA,22.97816841,22.38157267,21.78497693,21.18838119,20.59178545,19.99518971,19.39859397,18.80199823,18.20540249,17.60880675,17.01221101,16.41561527,15.81901953,15.22242379,14.62582805,14.02923231,13.43263657,12.83604083
Europe & Central Asia,ECS,13.26083136,13.20770013,13.15456889,13.10143766,13.04830643,12.9951752,12.50082918,12.3214953,12.02058097,13.42181158,13.09111142,13.48302307,13.66730367,12.76867257,12.64230777,12.18772627,11.95273317,11.74027148
Ecuador,ECU,9.621999741,8.801199913,8.801199913,11.87580013,9.485899925,7.906599998,7.574200153,7.66809988,7.853300095,8.60229969,8.196200371,8.317199707,9.127699852,9.375100136,10.80840015,10.50039959,10.23589993,9.267000198
"Egypt, Arab Rep.",EGY,11.96915385,12.46090804,12.95266223,13.44441641,13.9361706,14.42792478,14.91967897,15.41143316,15.67920017,16.19739914,15.79529953,17.95400047,19.61389923,17.92060089,17.92060089,19.76250076,19.83279991,19.55139923
Euro area,EMU,9.287725999,9.287725999,9.287725999,9.287725999,10.44638544,11.37501396,10.37077422,9.891891654,10.24978253,12.62396665,12.68144928,12.57395056,13.1443549,12.87208732,12.5361917,12.119816,11.56439189,11.20670793
Spain,ESP,9.668285445,10.20585691,10.74342837,9.960000038,10.31000042,11.11999989,10.27999973,10.43999958,13.92000008,19.39999962,18.79999924,19.20000076,19.56999969,19.44000053,18,16.37000084,15.07999992,13.77000046
Estonia,EST,11.03221446,10.95839302,10.88457158,10.52000046,13.56000042,7.860000134,6.559999943,8.75,8.5,14.43999958,14.57999992,11.76000023,11.22000027,10.82999992,11.75,8.960000038,6.769999981,8.350000381
